Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA3 (UR) by AGE10P - Age in Ten Year Groups by SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"SEXP Sex","Male"

"AGE10P - Age in Ten Year Groups","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","Total",
"SA3 (UR)",
"Upper Goulburn Valley",2631,2577,3206,3969,4295,16677,
"Wangaratta - Benalla",2030,2112,2757,3242,3323,13475,
"Wodonga - Alpine",4068,3696,4422,4926,4583,21693,
"Baw Baw",2524,2503,2884,3234,3113,14258,
"Gippsland - East",1816,1882,2379,3118,4002,13195,
"Gippsland - South West",2399,2720,3583,4323,5014,18045,
"Latrobe Valley",4547,4136,4323,4954,4563,22525,
"Wellington",2380,2580,2598,3030,3193,13776,
"Brunswick - Coburg",9020,8957,5855,4194,2818,30841,
"Darebin - South",3952,4622,4011,2826,1759,17170,
"Essendon",5471,5436,4645,3930,2851,22332,
"Melbourne City",26468,14607,5804,4329,3356,54564,
"Port Phillip",8923,11592,7630,5945,4307,38396,
"Stonnington - West",7082,6843,3582,2885,2460,22853,
"Yarra",9855,10313,5702,4493,3146,33507,
"Boroondara",12857,9642,10623,10513,7890,51527,
"Manningham - West",5669,5162,5610,5604,4594,26630,
"Whitehorse - West",9154,6338,6480,5807,4174,31954,
"Bayside",4349,4390,7152,6878,5332,28108,
"Glen Eira",10776,10965,10239,8572,6688,47246,
"Kingston",6562,7838,8937,7349,5596,36286,
"Stonnington - East",3440,2669,2678,2388,1796,12967,
"Banyule",7785,8193,8363,7361,6270,37977,
"Darebin - North",8428,8170,6470,4999,3500,31564,
"Nillumbik - Kinglake",3710,3135,4993,5085,3823,20738,
"Whittlesea - Wallan",15538,17797,14310,11515,8864,68025,
"Keilor",3407,3646,4151,3407,2947,17561,
"Macedon Ranges",1319,1496,2245,2163,1806,9027,
"Moreland - North",6149,6966,4843,3774,2535,24278,
"Sunbury",2641,2409,2722,2613,1998,12382,
"Tullamarine - Broadmeadows",12857,12494,10416,9293,5990,51050,
"Knox",10182,10129,10258,10418,8364,49349,
"Manningham - East",1472,1025,1875,1982,1489,7844,
"Maroondah",6775,7761,7445,6754,5207,33940,
"Whitehorse - East",3683,4188,4286,3406,2908,18468,
"Yarra Ranges",8998,8868,10316,10312,8515,47008,
"Cardinia",5964,6649,6460,5496,4055,28627,
"Casey - North",9061,8757,9158,8544,6057,41584,
"Casey - South",11614,14159,12091,9090,5746,52699,
"Dandenong",16455,15678,11884,10602,8773,63382,
"Monash",16123,11554,11014,9502,7552,55753,
"Brimbank",15774,14407,11822,11226,9069,62297,
"Hobsons Bay",5137,6265,6139,5539,3915,26993,
"Maribyrnong",8756,8802,5826,4278,2766,30422,
"Melton - Bacchus Marsh",10001,12152,11404,7978,6191,47732,
"Wyndham",15760,22431,15445,10855,7304,71792,
"Frankston",8480,9138,9420,8642,6727,42398,
"Mornington Peninsula",7208,6919,9867,9990,10146,44128,
"Grampians",3071,2944,3491,4436,4294,18242,
"Mildura",3263,2917,3313,3563,3270,16322,
"Murray River - Swan Hill",1971,1850,2153,2684,2704,11360,
"Campaspe",1750,1684,2244,2679,2536,10893,
"Moira",1378,1297,1689,1991,2160,8513,
"Shepparton",3762,3713,4129,4141,3556,19305,
"Glenelg - Southern Grampians",1610,1609,2153,2763,2736,10874,
"Colac - Corangamite",1927,1796,2257,2722,2645,11342,
"Warrnambool",2977,2605,3155,3225,3116,15083,
"Migratory - Offshore - Shipping (Vic.)",0,0,7,9,3,24,
"No Usual Address (Vic.)",984,945,723,516,395,3570,
"Capalaba",4366,4350,4835,4925,4141,22616,
"Cleveland - Stradbroke",3928,4184,5419,5809,5059,24407,
"Wynnum - Manly",3650,4589,5389,4393,3204,21224,
"Bald Hills - Everton Park",2633,2764,2725,2419,2047,12592,
"Chermside",5095,5422,4847,3777,2819,21956,
"Nundah",3360,3611,2664,2238,1704,13576,
"Sandgate",3661,4223,4064,3510,2705,18152,
"Carindale",3628,3659,3480,2926,2122,15810,
"Holland Park - Yeronga",7618,6567,4943,3719,2589,25437,
"Mt Gravatt",6170,5328,4592,3789,2895,22772,
"Nathan",3595,3233,2705,2136,1422,13089,
"Rocklea - Acacia Ridge",4614,4958,3844,3327,2436,19178,
"Sunnybank",5175,4143,2888,2502,2218,16934,
"Centenary",1720,2107,2300,2126,1794,10043,
"Kenmore - Brookfield - Moggill",2230,2134,3442,3018,2336,13158,
"Sherwood - Indooroopilly",6537,3471,2851,2285,1874,17014,
"The Gap - Enoggera",3406,3297,3729,2712,2148,15292,
"Brisbane Inner",9911,7675,4522,3664,2655,28424,
"Brisbane Inner - East",3576,3708,3197,2269,1441,14198,
"Brisbane Inner - North",9272,7961,6123,4903,3231,31500,
"Brisbane Inner - West",5943,4392,3908,3032,2114,19390,
"Cairns - North",2650,3404,3908,3873,2903,16739,
"Cairns - South",6674,6679,7089,6435,5126,32007,
"Innisfail - Cassowary Coast",1892,1824,2151,2725,2512,11098,
"Port Douglas - Daintree",573,726,827,972,871,3971,
"Tablelands (East) - Kuranda",1793,1817,2423,2856,3005,11896,
"Darling Downs (West) - Maranoa",2635,2679,3008,3110,2637,14069,
"Darling Downs - East",2252,2226,2737,2896,2667,12783,
"Granite Belt",1917,1794,2264,2689,3025,11689,
"Central Highlands (Qld)",2033,2432,2239,2009,1199,9916,
"Rockhampton",7410,7191,7315,7932,6469,36319,
"Biloela",878,1053,985,1037,764,4708,
"Gladstone",3883,4292,4795,4596,3067,20637,
"Broadbeach - Burleigh",4204,4568,4151,3671,3497,20092,
"Coolangatta",2966,3248,3525,3462,3303,16503,
"Gold Coast - North",4054,3675,4078,4148,3967,19912,
"Gold Coast Hinterland",672,879,1399,1508,1334,5792,
"Mudgeeraba - Tallebudgera",1494,1896,2640,2125,1712,9870,
"Nerang",3853,4412,4692,4209,3313,20486,
